pit_tag,date,visist.per.id,nest.id,sex,band.number,habitat,Number.of.SOSP.nestlings,SOSP.Age,Number.of.BHCO.Nestlings,year,Cuckolding.identified.by.any.method.95.,cuck.95,Cuckolding.identified.by.any.method.80.,X..of.epp.offspring.in.nest,X..of.offspring.sampled.that.are.epp
0620000A36,0019-06-10T04:56:02Z,8.524321796,43sjl19,male,164192461,urban,3,5,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-13T04:56:02Z,8.644629059,43sjl19,male,164192461,urban,2,8,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-12T04:56:02Z,8.905133743,43sjl19,male,164192461,urban,3,7,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-12T04:56:02Z,9.843113592,43sjl19,female,164192462,urban,3,7,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-11T04:56:02Z,10.24492344,43sjl19,male,164192461,urban,3,6,1,2019,1,yes,1,1,0.5
0620000AE9,0019-07-01T04:56:02Z,7.250503507,53sjl19,female,282192822,rural,4,7,0,2019,1,yes,1,4,1
0620000AE9,0019-06-27T04:56:02Z,7.758980301,53sjl19,female,282192822,rural,4,3,0,2019,1,yes,1,4,1
0620000AE9,0019-06-29T04:56:02Z,8.084924117,53sjl19,female,282192822,rural,4,5,0,2019,1,yes,1,4,1
0620000AE9,0019-07-02T04:56:02Z,8.442146778,53sjl19,female,282192822,rural,4,8,0,2019,1,yes,1,4,1
0620000AE9,0019-06-26T04:56:02Z,8.476679851,53sjl19,female,282192822,rural,4,2,0,2019,1,yes,1,4,1
0620000AE9,0019-06-30T04:56:02Z,8.544831419,53sjl19,female,282192822,rural,4,6,0,2019,1,yes,1,4,1
0620000AE9,0019-06-28T04:56:02Z,8.599457316,53sjl19,female,282192822,rural,4,4,0,2019,1,yes,1,4,1
0620000AE9,0019-06-25T04:56:02Z,11.17971576,53sjl19,female,282192822,rural,4,1,0,2019,1,yes,1,4,1
06200009FE,0019-06-27T04:56:02Z,2.580275229,59sjl19,male,282192842,rural,3,0,0,2019,1,yes,1,4,1
06200009FE,0019-07-06T04:56:02Z,2.85419805,59sjl19,male,282192842,rural,4,9,0,2019,1,yes,1,4,1
06200009FE,0019-07-05T04:56:02Z,3.618163179,59sjl19,male,282192842,rural,4,8,0,2019,1,yes,1,4,1
06200009FE,0019-07-03T04:56:02Z,4.000689774,59sjl19,male,282192842,rural,4,6,0,2019,1,yes,1,4,1
